Db,Ndb Id,FoodDescription,Manufacturer
BF,45040224,"NEWMAN'S OWN, NEWMAN-O'S, CHOCOLATE CREME FILLED CHOCOLATE COOKIES, CHOCOLATE CREME, UPC: 757645021425","NEWMAN'S OWN, INC."
BF,45144375,"SESMARK, CHOCOLATE DRIZZLES, CHOCOLATE COATED SNACK CRACKERS, DARK CHOCOLATE ESPRESSO, UPC: 085693405066",PANOS Brands LLC
BF,45149402,"MARK AVENUE CHOCOLATES, REINDEER FOOD, CHOCOLATE, MILK CHOCOLATE & PEANUT BUTTER, UPC: 720227370952",Gertrude Hawk Chocolates
BF,45153637,"GHIRARDELLI CHOCOLATE, WINTER WHITE HOLIDAY SQUARES CHOCOLATE, CREAMY WHITE CHOCOLATE WITH VANILLA BEAN, UPC: 747599323881",GHIRARDELLI CHOCOLATE COMPANY
BF,45375481,"TERRY'S CHOCOLATE ORANGE CHOCOLATE BAR-BUNDLE MILK CHOCOLATE 105 GR, UNPREPARED, GTIN: 07622210397829",Mondelez EU B2B2C
BF,45375882,"TERRY'S CHOCOLATE ORANGE CHOCOLATE PIECES ASSORTED CHOCOLATE 500 GR, UNPREPARED, GTIN: 07622210467836",Mondelez EU B2B2C
BF,45144372,"SESMARK, CHOCOLATE DRIZZLES,CHOCOLATE COATED SNACK CRACKERS, WHITE CHOCOLATE MINT, UPC: 085693405004",PANOS Brands LLC
BF,45151858,"ELMER CHOCOLATE, ASSORTED CHOCOLATES, UPC: 047161100354",Nordisk-Usa
BF,45152101,"SPLENDID CHOCOLATES, CHOCOLATE SANTA, UPC: 065278300023",Splendid Chocolates Ltd.
BF,45086419,"GHIRARDELLI CHOCOLATE, MILK CHOCOLATE, UPC: 747599622724",GHIRARDELLI CHOCOLATE COMPANY
BF,45143246,"ELMER CHOCOLATE, ASSORTED CHOCOLATES, CHOCOLATE RASPBERRY TRUFFLE, CHOCOLATE FUDGE, ORANGE CREME, STRAWBERRY CREME, CARAMEL, UPC: 041761100943",ELMER CANDY CORPORATION
BF,45174290,"RICH PRODUCTS CORP, SINGLE LAYER CHOCOLATE CAKE WITH CHOCOLATE WHIPPED ICING, CHOCOLATE, UPC: 049800145726",RICH PRODUCTS CORPORATION
BF,45144646,"MADELAINE CHOCOLATE, IT'S A GIRL! SOLID MILK CHOCOLATE CIGARS, MILK CHOCOLATE, UPC: 000609407101",Madelaine Chocolate Novelties
BF,45039870,"MEIJER, CHOCOLATE PEANUT CLUSTERS, ROASTED PEANUTS DRENCHED IN RICH MILK CHOCOLATE, CHOCOLATE, UPC: 041250048466","Meijer, Inc."
BF,45148723,"CHOCOLATE CHOCOLATE CHOCOLATE COMPANY, PRETZEL BARK, PEANUT BUTTER, UPC: 081331002352",Chocolate Chocolate Chocolate
BF,45048920,"GHIRARDELLI CHOCOLATE, HOLIDAY SEA SALT DUO SQUARES, MILK CHOCOLATE, ALMONDS, DARK CHOCOLATE & CARAMELS, UPC: 747599322815",GHIRARDELLI CHOCOLATE COMPANY
BF,45318812,"KEEBLER, CHIPS DELUXE, TRIPLE CHOCOLATE COOKIES WITH M&M'S MILK CHOCOLATE CANDIES, TRIPLE CHOCOLATE, UPC: 030100100423",Keebler Company
BF,45375749,"TERRY'S CHOCOLATE ORANGE CHOCOLATE BAR-BUNDLE MILK CHOCOLATE 105.000 GR, UNPREPARED, GTIN: 03664346304986",Mondelez EU B2B2C
BF,45152859,"SESMARK, CHOCOLATE DRIZZLES, CHOCOLATE COATED SNACK CRACKERS, MILK CHOCOLATE PEANUT BUTTER, UPC: 085693405028",PANOS Brands LLC
BF,45302615,"NESTLE, TOLL HOUSE, CHOCOLATE CHIPS & CHOCOLATE CHUNKS, CHOCOLATE CHIP LOVERS, UPC: 6056600009268",none
BF,45043902,"CHOCOLATE CHIP COOKIE DOUGH COVERED IN MILK CHOCOLATE, UPC: 077260063472",RUSSELL STOVER CANDIES INC.
BF,45135622,"VALOR CHOCOLATES, MILK CHOCOLATE WITH MARCONA ALMONDS, UPC: 8410109000078",VALOR CHOCOLATES
BF,45091567,"CHEWY CHOCOLATE CARAMEL COVERED IN RICH EUROPEAN CHOCOLATE, UPC: 072799035914",Storck USA LP
BF,45276175,"CHOCOLATE MACAROON FRUIT, NUT & CHOCOLATE BITES, UPC: 021908137261","SMALL PLANET FOODS, INC."
BF,45087747,"CHEWY CHOCOLATE CARAMEL COVERED IN RICH EUROPEAN CHOCOLATE, UPC: 072799050276",Storck USA LP
BF,45281052,"CHOCOLATE MARSHMALLOW SAUCE SWIRLED IN CHOCOLATE ICE CREAM, UPC: 075450102321","Hy-Vee, Inc."
BF,45209617,"MINI CHOCOLATE CUPCAKES WITH BUTTERCREME & CHOCOLATE ICING, UPC: 688267079405","Ahold USA, Inc."
BF,45048376,"FIREBIRD CHOCOLATE, DARK CHOCOLATE BAR, ESPRESSO, UPC: 676181250079",Salmon River Foods Inc.
BF,45314569,"CHOCOLATE CREME FILLED CHOCOLATE COOKIES, UPC: 757645021623","NEWMAN'S OWN, INC."
BF,45084017,"PURELY CHOCOLATE RICH FUDGY CHOCOLATE, UPC: 852244003008",none
BF,45161035,"GHIRARDELLI CHOCOLATE, PREMIUM CHOCOLATE ASSORTMENT, UPC: 747599321313",GHIRARDELLI CHOCOLATE COMPANY
BF,45153633,"GHIRARDELLI CHOCOLATE, CHOCOLATE & WINE PAIRING KIT, UPC: 747599321443",GHIRARDELLI CHOCOLATE COMPANY
BF,45208042,"DARK CHOCOLATE CHEESECAKE WITH CHOCOLATE CRUMB TOPPING, UPC: 048143026129","Backpacker's Pantry, Inc."
BF,45211524,"CHOCOLATE, ALL NATURAL PREMIUM MILK CHOCOLATE, UPC: 898136002889","Widgeteer, Inc"
BF,45135621,"VALOR CHOCOLATES, MILK CHOCOLATE WITH ALMONDS, UPC: 8410109050387",VALOR CHOCOLATES
BF,45282785,"CHOCOLATE DRIZZLED CHOCOLATE COCONUT MACAROONS, UPC: 073490154447",Royal Wine Corporation
BF,45087746,"CHEWY CHOCOLATE CARAMEL COVERED IN RICH EUROPEAN CHOCOLATE, UPC: 072799398040",Storck USA LP
BF,45359533,"BITES WITH MINI CHOCOLATE CHIPS & CHOCOLATE DRIZZLE, UPC: 856716002704",none
BF,45051296,"COBURN FARMS, CHOCOLATE MIX MIX, CHOCOLATE, UPC: 051933044500",The Moran Group Incorporated
BF,45003393,"JULIE'S, ORGANIC CHOCOLATE ICE CREAM BAR, CHOCOLATE, UPC: 072609741110","Oregon Ice Cream, LLC"
BF,45260253,"MILK CHOCOLATE EGG FILLED WITH ROLO CHOCOLATES, UPC: 7613034240712",none
BF,45291265,"BITTERSWEET CHOCOLATE 70% CACAO PREMIUM CHOCOLATE, UPC: 020182057111",Nestle USA Inc.
BF,45157061,"ELMER CHOCOLATE, MERRY CHRISTMAS ASSORTED CHOCOLATES, UPC: 041761100097",ELMER CANDY CORPORATION
BF,45161033,"GHIRARDELLI CHOCOLATE, PREMIUM CHOCOLATE ASSORTEMENT, UPC: 747599321290",GHIRARDELLI CHOCOLATE COMPANY
BF,45161034,"GHIRARDELLI CHOCOLATE, MILK DARK CHOCOLATE, UPC: 747599321306",GHIRARDELLI CHOCOLATE COMPANY
BF,45249087,"M&M'S, CHOCOLATE CANDIES, MILK CHOCOLATE, UPC: 040000490609",Mars Chocolate North America LLC
BF,45149556,"GHIRARDELLI CHOCOLATE, CHOCOLATE SQUARES, MILK & CARAMEL, UPC: 747599321580",GHIRARDELLI CHOCOLATE COMPANY
BF,45160591,"ENJOY CHOCOLATE, DAY OF THE DEAD 3 PACK CHOCOLATE, UPC: 666140101955","Enjou Chocolat Of Morristown, Inc."
BF,45305023,"M&M'S, CHOCOLATE CANDIES, MILK CHOCOLATE, UPC: 04003100",Giuseppe Foods
BF,45146448,"PALMER, HAPPY EASTER CHOCOLATE, MILK CHOCOLATE, UPC: 041269407520",R.M. PALMER CO.
BF,45160808,"MOONSTRUCK CHOCOLATE CO, HEART CHOCOLATE COLLECTION, UPC: 711175123462",MOONSTRUCK CHOCOLATE CO.
BF,45011567,"FOOD CLUB, CHOCOLATE SYRUP, CHOCOLATE, UPC: 036800764156","Topco Associates, Inc."
BF,45010385,"CHOCO LISTO, INSTANT CHOCOLATE DRINK, CHOCOLATE, UPC: 051817516109",COMPANIA NACIONAL DE CHOCOLATES S.A.S.
BF,45009702,"BRIX, CHOCOLATE FOR WINE, BITES, MEDIUM DARK CHOCOLATE, UPC: 895832002311",BRIX CHOCOLATE
BF,45155765,"NICE!, CHOCOLATE BRIDGE MIX, MILK AND DARK CHOCOLATE, UPC: 049022834330",WALGREENS CO.
BF,45153618,"GHIRARDELLI CHOCOLATE, SQUARES, SPRING CARAMEL CHOCOLATE TRIO, UPC: 747599322006",GHIRARDELLI CHOCOLATE COMPANY
BF,45086412,"GHIRARDELLI CHOCOLATE, MILK CHOCOLATE, BROWNIE, UPC: 747599622106",GHIRARDELLI CHOCOLATE COMPANY
BF,45145677,"GHIRARDELLI CHOCOLATE, SQUARES, DARK CHOCOLATE WITH FILLING, STRAWBERRY, UPC: 747599321283",GHIRARDELLI CHOCOLATE COMPANY
BF,45165657,"DANSKE, CRISPY PREMIUM CHOCOLATE, MILK CHOCOLATE, UPC: 685141740031","Ip, LLC"
BF,45161030,"GHIRARDELLI CHOCOLATE, HOLIDAY IMPRESSION MILK & DARK CHOCOLATE, UPC: 747599319372",GHIRARDELLI CHOCOLATE COMPANY
BF,45160590,"ENJOY CHOCOLATE, SMALL CHOCOLATE CAKE, UPC: 666140101283","Enjou Chocolat Of Morristown, Inc."
BF,45318287,"M&M'S, CHOCOLATE CANDIES, MILK CHOCOLATE, UPC: 040000408451",Mars Chocolate North America LLC
BF,45146102,"LAKE CHAMPLAIN CHOCOLATES, DARK CHOCOLATE, UPC: 769933855735",Champlain Chocolate Company
BF,45153115,"WINE LOVER'S CHOCOLATE, COCOA - MILK CHOCOLATE DROPS, UPC: 636092105974",Bridge International Co.
BF,45248303,"ETHEL M CHOCOLATES, ASSORTMENT CHOCOLATES, UPC: 012937451640",Mars Retail Group Inc.
BF,45010072,"MRS. THINSTER'S, CHOCOLATE CHIP, COOKIE THINS, CHOCOLATE, UPC: 711747011241",Brownie Brittle LLC
BF,45161039,"GHIRARDELLI CHOCOLATE, SQUARES, CHOCOLATE ASSORTMENT, UPC: 747599322013",GHIRARDELLI CHOCOLATE COMPANY
BF,45166048,"GHIRARDELLI CHOCOLATE, MILK CHOCOLATE DUO, UPC: 747599321764",GHIRARDELLI CHOCOLATE COMPANY
BF,45161031,"GHIRARDELLI CHOCOLATE, INTENSE DARK CHOCOLATES, UPC: 747599321108",GHIRARDELLI CHOCOLATE COMPANY
BF,45161940,"BERKSHIRE BARK CHOCOLATE, PRETZELOGICAL CHOCOLATE SQUARE, UPC: 855136002202","Berkshire Bark, Inc."
BF,45171775,"DAYSTAR DESSERTS, CHOCOLATE TRIOLIGY CAKE, CHOCOLATE TRILOGY, UPC: 019951051092","Dianne's Fine Desserts, Inc."
BF,45018425,"GHIRARDELLI CHOCOLATE, CHOCOLATE SQUARES CRUNCH, CREAMY ALMOND, UPC: 747599318986",GHIRARDELLI CHOCOLATE COMPANY
BF,45018325,"SOLSTICE CHOCOLATE, BUNDUBUGYO AMERICAN ARTISAN CHOCOLATE BAR, UPC: 765857449470",Horizon Marketing Inc.
BF,45018320,"EQUAL EXCHANGE CHOCOLATES, ORGANIC DARK CHOCOLATE, COCONUT, UPC: 745998903147","Equal Exchange, Inc."
BF,45017967,"BRIGHT MORNING, ISRAELI CHOCOLATE SPREAD, MILK CHOCOLATE, UPC: 013113347719",Hashachar-Haoleh Sweets Mfg
BF,45017900,"SEATTLE CHOCOLATES, ASSORTED CHOCOLATE TRUFFLES, UPC: 081014090508","Seattle Chocolate Company, Inc"
BF,45147378,"COTTONDALE, HAPPY EASTER CHOCOLATE, MILK CHOCOLATE, UPC: 050428503195","CVS Pharmacy, Inc."
BF,45189537,"DOUBLE CHOCOLATE MUFFINS TOPPED WITH CHOCOLATE CHIP, UPC: 011110187024",The Kroger Co.
BF,45161224,"LAKE CHAMPLAIN CHOCOLATES, DARK CHOCOLATES, UPC: 769933855803",Champlain Chocolate Company
BF,45161657,"FRUITS IN CHOCOLATE, CHERRY IN DARK CHOCOLATE, UPC: 837907300038",none
BF,45085863,"GHIRARDELLI CHOCOLATE, PREMIUM CHOCOLATE ASSORTMENT, UPC: 747599322938",GHIRARDELLI CHOCOLATE COMPANY
BF,45154470,"THE MADELAINE CHOCOLATE COMPANY, SOLID MILK CHOCOLATE CHICKS, UPC: 000609989027",Madelaine Chocolate Novelties
BF,45186456,"FIORELLO'S, ARTISAN GELATO, CHOCOLATE CHOCOLATE CHIP, UPC: 804879460237","Mozian & Associates, Inc."
BF,45065868,"FRAN'S CHOCOLATES, SAUCE, DARK CHOCOLATE, UPC: 749668050025","FRAN'S CHOCOLATES, LTD."
BF,45335895,"SOLSTICE CHOCOLATE, MADAGASCAR CHOCOLATE BAR, UPC: 765857449418",Horizon Marketing Inc.
BF,45018322,"EQUAL EXCHANGE CHOCOLATES, ORGANIC DARK CHOCOLATE, PANAMA, UPC: 745998903086","Equal Exchange, Inc."
BF,45170816,"STREIT'S, CHOCOLATE DOUBLE DIP PEANUTS, CHOCOLATE, UPC: 070227502106",ARON STREIT INC.
BF,45017947,"SEATTLE CHOCOLATES, DARK CHOCOLATE TRUFFLE BAR, UPC: 081014000088","Seattle Chocolate Company, Inc"
BF,45153546,"MELVILLE CANDY, CHOCOLATE DIPPED MARSHMALLOW, CHOCOLATE & CONFETTI, UPC: 732577202852",Melville Candy Corporation
BF,45153624,"GHIRARDELLI CHOCOLATE, SQUARES, SPRING DARK CHOCOLATE DUE, UPC: 747599321795",GHIRARDELLI CHOCOLATE COMPANY
BF,45161879,"MUNSON'S CHOCOLATES, UCONN, CHOCOLATE & ALMONDS, UPC: 853365500049",none
BF,45193192,"ORGANIC VALLEY, CHOCOLATE LOWFAT MILK, CHOCOLATE, UPC: 093966002232",Cooperative Regions of Organic Producer Pools
BF,45086355,"GHIRARDELLI CHOCOLATE, PREMIUM CHOCOLATE SQUARES ASSORTMENT, UPC: 747599322945",GHIRARDELLI CHOCOLATE COMPANY
BF,45160356,"WAGGONER CHOCOLATES, SPRING BUCKEYES - QUALITY CHOCOLATES, UPC: 184420000823",Waggoner Chocolates
BF,45166704,"CHOCOLATE ORCHARD, DARK CHOCOLATE COVERED CRANBERRIES, UPC: 846548093582",CIBO VITA INC
BF,45051495,"TRIPLE CHOCOLATE BROWNIE MIX  3 TYPES OF CHOCOLATE , UPC: 072036708823",Harris-Teeter Inc.
BF,45177238,"OLSON'S BAKING COMPANY, CHOCOLATE ICED CHOCOLATE CAKE, UPC: 079879301921","Olson's Baking Company, LLC"
BF,45153660,"ROCKY MOUNTAIN CHOCOLATE FACTORY, DARK CHOCOLATE, UPC: 751269009814","ROCKY MOUNTAIN CHOCOLATE FACTORY, INC."
BF,45174975,"ELMER CHOCOLATE, HAPPY VALENTINE'S DAY ASSORTED CHOCOLATES, UPC: 041761100356",ELMER CANDY CORPORATION
BF,45149585,"IRENE'S, CHOCOLATE DIPPED CHOCOLATE TWISTS, UPC: 749084003803",Irene's Bakery/gourmet Kitchen
BF,45165325,"KARA CHOCOLATES, CHOCOLATE COVERED PRETZELS PODS, UPC: 090272002024","Fenton Enterprises, Inc."
BF,45165326,"KARA CHOCOLATES, LAYERED TREES CHOCOLATES, UPC: 090272005599","Fenton Enterprises, Inc."
BF,45248830,"ETHEL M CHOCOLATES, MINT DARK CHOCOLATE, UPC: 012937468914",Mars Retail Group Inc.
BF,45148565,"WEGMANS, DOUBLE CHOCOLATE TRUFFLE, DARK CHOCOLATE, UPC: 077890350652","Wegmans Food Markets, Inc."
BF,45150152,"WHITE CHOCOLATE COVERED GRAHAM WITH DARK CHOCOLATE DRIZZLE, UPC: 845777008855","G. Debbas Chocolatier, Inc."
BF,45318040,"WHIPPED UP, FLUFFY CHOCOLATE-ON-CHOCOLATE TASTE, UPC: 040000505310",Mars Chocolate North America LLC
BF,45121074,"ORION, CHOCO BOY, CHOCOLATE BISCUIT, CHOCOLATE, UPC: 716680942300",Tong Yang Confectionery Corp.
BF,45166042,"EQUAL EXCHANGE CHOCOLATES, MILK CHOCOLATE, UPC: 745998990154","Equal Exchange, Inc."
BF,45159436,"TEJAS CHOCOLATE, MILK CHOCOLATE BAR, UPC: 859037004303",Tejas Chocolate LLC
BF,45152911,"KARA CHOCOLATES, CHOCOLATE CARAMEL PRETZELS RODS, UPC: 090272002031","Fenton Enterprises, Inc."
BF,45149583,"ROCKY MOUNTAIN CHOCOLATE FACTORY, MILK CHOCOLATE, UPC: 751269010223","ROCKY MOUNTAIN CHOCOLATE FACTORY, INC."
BF,45009744,"CHOCOLATE SANTANDER, SEMISWEET CHOCOLATE BAR, SUNSET BANANA, UPC: 051817203863",COMPANIA NACIONAL DE CHOCOLATES S.A.S.
BF,45203349,"CHOCOLATE POT DE CREME WITH DARK BELGIAN CHOCOLATE, UPC: 867518000027",none
BF,45009103,"ENTENMANN'S, CHOCOLATE LOAF CAKE, CHOCOLATE, UPC: 072030020594","BIMBO BAKERIES USA, INC."
BF,45159353,"TERRY'S, CHOCOLATE MINIS, CHOCOLATE ORANGE, UPC: 622210147698",none
BF,45154291,"MUNSON'S CHOCOLATES, UCONN CRISPY CHOCOLATE BAR, UPC: 853365500032",none
BF,45150154,"CHOCOLATE LOVERS WITH CHOCOLATE DRIZZLE, CHUNKS & CHIPS, UPC: 845777009029","G. Debbas Chocolatier, Inc."
BF,45142738,"DILETTANTE CHOCOLATES, CHOCOLATE COVERED S'MORES BITES, UPC: 037041059025","Seattle Gourmet Foods, Inc."
BF,45318041,"WHIPPED UP, FLUFFY CHOCOLATE-ON-CHOCOLATE TASTE, UPC: 040000505372",Mars Chocolate North America LLC
BF,45120824,"CHOCOLATE MOUSSE ICE CREAM WITH DARK CHOCOLATE FLAKES., UPC: 070438101273",All Star Dairy Association Inc
BF,45151813,"WORLD'S FINEST CHOCOLATE, MILK CHOCOLATE BAR, UPC: 043268736342","WORLD'S FINEST CHOCOLATE, INC."
BF,45098744,"GEARHARTS FINE CHOCOLATES, DARK CHOCOLATE, CARAMELS, UPC: 898111002101",GEARHARTS FINE CHOCOLATES
BF,45308563,"SANTA CRUZ ORGANIC, CHOCOLATE SYRUP, CHOCOLATE, UPC: 036192120776",Santa Cruz Natural
BF,45186593,"SAMBAZON, CREAMY SORBET, ACAI CHOCOLATE + CHOCOLATE CHIP, UPC: 818411001314","Sambazon, Inc."
BF,45165339,"ASTOR CHOCOLATE, BELGIAN MILK CHOCOLATE PRETZEL, TOFFEE, UPC: 092163082382",Astor Chocolate Corp.
BF,45103144,"RUSSELL STOVER, FINE CHOCOLATES, FRENCH CHOCOLATE MINTS, UPC: 077260040350",RUSSELL STOVER CANDIES INC.
BF,45308152,"KROGER, CHOCOLATE SANDWICH COOKIES, CHOCOLATE, UPC: 011110087188",The Kroger Co.
BF,45101313,"SWEET CHOCOLATE DREAM, CREAMY SWEET CHOCOLATE BAR, UPC: 077241012321","THE HAIN CELESTIAL GROUP, INC."
BF,45101103,"DARK CHOCOLATE DREAM, DARK CHOCOLATE BAR, ALMOND, UPC: 077241012383","THE HAIN CELESTIAL GROUP, INC."
BF,45242892,"FRAN'S CHOCOLATE, ALMOND GOLD CHOCOLATE BAR, UPC: 749668040019","FRAN'S CHOCOLATES, LTD."
BF,45100137,"DILETTANTE CHOCOLATES, TRUFFLECREMES, DOUBLE DARK & MILK CHOCOLATE, UPC: 037041008337","Seattle Gourmet Foods, Inc."
BF,45099458,"GOODA GOODA, CHOCOLATE CUBE BITES, CHOCOLATE, UPC: 8809324622156",none
BF,45310035,"NABISCO, OREO, CHOCOLATE SANDWICH COOKIES, CHOCOLATE CREME, UPC: 044000025298",Nabisco Biscuit Company
BF,45161276,"ANETTE'S CHOCOLATES, MICRO BREW BRITTLE BEER CHOCOLATE, UPC: 791080998768",Anette's Chocolate & Ice Cream Factory
BF,45144899,"ENJOY CHOCOLATE, HANDBAG AND SHOE SHAPED CHOCOLATE, UPC: 666140102501","Enjou Chocolat Of Morristown, Inc."
BF,45166329,"MARICH CHOCOLATES, SALTED CARAMELS, DARK CHOCOLATE, UPC: 797817057807",Marich Confectionery Company
BF,45165340,"ASTOR CHOCOLATE, BELGIAN DARK CHOCOLATE, SEA SALT, UPC: 092163082399",Astor Chocolate Corp.
BF,45166328,"MARICH CHOCOLATES, DARK CHOCOLATE, COCONUT MILK CARAMELS, UPC: 797817027893",Marich Confectionery Company
BF,45102982,"SPARTAN, CHOCOLATE STARS SOLID MILK CHOCOLATE PIECES, UPC: 011213022796",none
BF,45149110,"ENJOY CHOCOLATE, CHOCOLATE, SEA SALT CARAMELS, UPC: 666140102013","Enjou Chocolat Of Morristown, Inc."
